Date,Open,High,Low,Close,Adj Close,Volume
2022-06-16,329.500000,329.500000,324.000000,324.500000,281.775879,1697364
2022-06-17,321.500000,324.000000,319.000000,323.000000,280.473358,3577782
2022-06-20,324.000000,324.000000,316.500000,320.000000,277.868347,3240460
2022-06-21,324.000000,332.000000,321.000000,332.000000,288.288422,3125234
2022-06-22,333.000000,334.000000,321.500000,321.500000,279.170868,2774955
2022-06-23,324.000000,326.500000,321.500000,325.000000,282.210052,2327832
2022-06-24,328.000000,329.000000,322.500000,326.000000,283.078369,2628833
2022-06-27,328.500000,330.500000,326.500000,328.500000,285.249237,1836716
2022-06-28,328.500000,330.000000,324.000000,326.000000,283.078369,2062820
2022-06-29,322.500000,326.500000,322.000000,324.000000,281.341705,2622408
2022-06-30,320.000000,320.500000,308.500000,310.500000,269.619141,6047781
2022-07-01,311.000000,315.000000,308.000000,309.500000,268.750793,3932231
2022-07-04,310.000000,312.500000,300.000000,301.500000,261.804077,3850317
2022-07-05,307.000000,309.000000,301.500000,304.500000,264.409088,2407180
2022-07-06,307.000000,307.500000,298.000000,298.000000,258.764893,2823430
2022-07-07,300.000000,305.500000,296.000000,302.500000,262.672424,3103330
2022-07-08,303.500000,308.000000,303.500000,305.000000,264.843262,2121170
2022-07-11,310.000000,311.000000,308.000000,309.500000,268.750793,1908870
2022-07-12,307.500000,308.000000,302.000000,306.500000,266.145782,2826185
2022-07-13,313.500000,317.500000,311.000000,313.000000,271.789978,3031893
2022-07-14,312.000000,313.500000,309.500000,312.500000,271.355804,1854228
2022-07-15,314.000000,314.500000,310.000000,310.000000,269.184967,1473613
2022-07-18,310.500000,311.500000,303.500000,308.500000,267.882446,4138145
2022-07-19,309.000000,314.000000,308.000000,312.000000,270.921631,3183896
2022-07-20,315.000000,318.500000,314.500000,316.000000,274.394989,2598454
2022-07-21,316.000000,323.000000,316.000000,322.000000,279.605011,3565072
2022-07-22,323.500000,327.000000,318.000000,326.000000,283.078369,3646961
2022-07-25,323.000000,326.500000,320.500000,326.000000,283.078369,3035281
2022-07-26,325.500000,325.500000,321.000000,323.000000,280.473358,3406195
2022-07-27,323.500000,324.500000,319.500000,322.500000,280.039185,4785974
2022-07-28,324.000000,325.000000,319.000000,319.000000,277.000000,6363615
2022-07-29,277.000000,284.000000,277.000000,281.500000,281.500000,7292201
2022-08-01,281.000000,283.000000,278.000000,282.500000,282.500000,3117094
2022-08-02,280.000000,280.500000,275.500000,277.500000,277.500000,5008910
2022-08-03,278.000000,281.000000,277.000000,281.000000,281.000000,2159257
2022-08-04,281.000000,282.500000,279.000000,281.000000,281.000000,1644920
2022-08-05,283.000000,283.000000,279.500000,282.000000,282.000000,2076569
2022-08-08,282.000000,284.000000,280.500000,283.500000,283.500000,1869111
2022-08-09,283.500000,283.500000,280.000000,281.000000,281.000000,2382884
2022-08-10,278.500000,279.000000,277.000000,277.000000,277.000000,2692261
2022-08-11,281.500000,282.500000,279.500000,282.000000,282.000000,2393896
2022-08-12,261.000000,264.500000,257.500000,262.000000,262.000000,10657136
2022-08-15,260.500000,261.000000,252.000000,252.500000,252.500000,8122821
2022-08-16,250.500000,255.500000,248.000000,254.500000,254.500000,6444743
2022-08-17,256.500000,258.000000,254.000000,258.000000,258.000000,5315491
2022-08-18,255.500000,263.000000,255.000000,262.500000,262.500000,4460411
