Date,Open,High,Low,Close,Adj Close,Volume
12/01/2017,21.777945,22.993132,21.693752,22.440264,21.538488,13801490
12/04/2017,22.504812,22.52165,20.952852,21.017401,20.172804,8513645
12/05/2017,20.927595,21.278399,20.644144,20.89953,20.059669,6129126
12/06/2017,20.767628,21.18298,20.697468,21.065109,20.218596,7828790
12/07/2017,21.278399,21.601139,21.205433,21.298044,20.442171,7163534
12/08/2017,21.56185,21.803204,21.312077,21.67972,20.808504,10242171
12/11/2017,21.738655,22.266266,21.637623,22.252232,21.358009,4331828
12/12/2017,22.182072,22.451488,21.99404,22.241007,21.347237,7608938
12/13/2017,22.328007,22.667585,22.226974,22.504812,21.600441,5821618
12/14/2017,22.67881,22.777037,22.37291,22.384134,21.484613,3869676
12/15/2017,22.513231,22.763004,22.274685,22.729326,21.815931,5660560
12/18/2017,22.866842,23.790159,22.779842,23.790159,22.834137,7497765
12/19/2017,23.708773,23.708773,23.24571,23.38884,22.448942,8377173
12/20/2017,23.546,23.613354,23.209227,23.391645,22.451635,5652364
12/21/2017,23.386032,23.470226,23.125034,23.164324,22.23345,3014143
12/22/2017,23.116615,23.293421,22.95384,23.035229,22.109545,3661940
12/26/2017,22.956648,22.981907,22.76581,22.838778,21.920986,5351983
12/27/2017,22.79668,22.962261,22.701262,22.805099,21.88866,4109839
12/28/2017,22.827553,22.920164,22.619877,22.740553,21.82671,4981050
12/29/2017,22.833164,22.875261,22.659166,22.810713,21.894047,3143132
01/02/2018,22.880875,23.15871,22.872456,23.133453,22.203821,2371691
01/03/2018,23.172743,23.582483,23.141872,23.377613,22.438168,5699043
01/04/2018,23.408484,23.840675,23.369194,23.792967,22.83683,4941498
01/05/2018,23.854708,24.039932,23.798578,23.966965,23.003838,2475025
01/08/2018,23.879965,23.98661,23.784548,23.961351,22.998446,3702204
01/09/2018,23.995029,23.995029,23.638613,23.652643,22.702148,2768992
01/10/2018,23.517935,23.748062,23.40287,23.745256,22.791037,2417657
01/11/2018,23.997835,24.371092,23.938902,24.368284,23.389027,3255018
01/12/2018,24.379511,24.508608,24.185867,24.345835,23.367479,5480973
01/16/2018,24.480543,24.623671,24.118511,24.160608,23.189699,2471818
01/17/2018,24.365479,24.820122,24.160608,24.727509,23.733818,2734785
01/18/2018,24.716284,24.842573,24.5928,24.806089,23.80924,3423559
01/19/2018,24.772411,24.963249,24.724703,24.834154,23.836178,3065097
01/22/2018,24.8538,25.100765,24.623671,24.957638,23.954699,4748371
01/23/2018,24.88467,25.117603,24.845379,25.008154,24.003183,2962120
01/24/2018,24.977282,25.224249,24.629284,24.800476,23.803852,2822441
01/25/2018,24.918346,25.033411,24.63209,24.820122,23.822708,2761866
01/26/2018,25.659246,25.931471,21.477655,23.220453,22.287323,127220424
01/29/2018,23.574064,24.146578,20.268082,20.992144,20.14856,65799822
01/30/2018,20.599241,20.638533,19.459827,19.667505,18.877155,21560797
01/31/2018,19.889214,20.590822,19.751698,20.122147,19.313526,21323841
02/01/2018,19.990246,20.31579,19.594538,19.715214,18.922943,16692701
02/02/2018,19.914471,20.304565,19.283024,19.897633,19.098032,19484498
02/05/2018,19.689957,20.051987,18.926605,18.965897,18.203739,11756191
02/06/2018,18.522478,19.212862,18.328835,18.86767,18.109463,11118372
02/07/2018,18.833994,19.355989,18.738573,18.738573,17.985552,7185626
02/08/2018,18.735767,19.007992,18.345673,18.415834,17.675781,12260033
02/09/2018,18.676832,19.064121,18.23061,18.887316,18.128317,9210614
02/12/2018,18.965897,19.294249,18.811543,19.092184,18.324951,8159815
02/13/2018,18.943443,19.297054,18.831186,19.167959,18.397682,6382472
02/14/2018,19.058508,19.659084,19.013605,19.60857,18.820587,6240299
02/15/2018,19.757311,19.78257,19.193216,19.372829,18.59432,4498944
02/16/2018,19.36441,19.830278,19.299862,19.586119,18.79904,4259495
02/20/2018,19.431765,19.673119,19.3167,19.594538,18.807117,5299960
